Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,END CAP AVAIL,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#,,,
CA,    ,010592,#2,PEROVSKIA LITTLE SPIRE P11643,Little Spire Russian Sage                                   ,PRN,04,     ,,,-,"12""H-10""S", 80 ,     ,          , 15.50 , 12.40 , 1.24 , 13.64 ,     ,,014949062739,,,
CA,    ,064411,#1,PHILADELPHUS VIR DWF SNOWFLAKE,Dwarf Snowflake Mock Orange                                 ,DCS,04,     ,,,-,"9""H - 6""S",     , 20 ,04/01/14  , 6.00 , 4.80 , 0.49 , 5.29 ,     ,,014949644119,,,
OR,2013,043411,#1,PHLOMIS FRUTICOSA,Jerusalem Sage                                              ,PRN,06,     ,,,-,.,     , 165 ,04/01/14  , 5.50 , 4.40 , 0.46 , 4.86 ,     ,,014949377956,,,
OR,    ,064341,#1,PHLOX SUB CANDY STRIPE,Candy Stripe Creeping Phlox                                 ,PRN,03,     ,,,-,CAN FULL," 1,507 ",     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949643419,,,
OR,    ,064451,#1,PHLOX SUB EMERALD BLUE,Emerald Blue Creeping Phlox                                 ,PRN,03,     ,,,-,CAN FULL, 829 ,     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949644515,,,
OR,    ,064601,#1,PHLOX SUB RED WINGS,Red Wings Creeping Phlox                                    ,PRN,03,     ,,,-,.," 1,508 ",     ,          , 4.75 , 3.80 , 0.46 , 4.26 ,     ,,014949646014,,,
CA,    ,064851,#1,PHOTINIA X FRASERI,Fraser's Photinia                                           ,EVS,07,     ,,,-,"10""H - 8""S", 171 ,     ,          , 6.00 , 4.80 , 0.49 , 5.29 ,     ,,014949648513,,,
OR,    ,034652,#2,PHYSOCARPUS CENTER GLOW P16894,Center Glow Ninebark                                        ,DCS,02,     ,,,BREAKING DORMANCY,14''H - 12''S, 119 ,     ,          , 14.50 , 11.60 , 1.15 , 12.75 ,     ,,014949219836,,,
OR,2011,074672S,SuperTwo,PHYSOCARPUS COPPRTNA TM P16371,Coppertina™  Ninebark,DCS,03,     ,,,BREAKING DORMANCY,12''H - 12''S, 223 ,     ,          , 16.00 , 12.80 , 1.53 , 14.33 ,     ,,014949336427,,,
OR,    ,063931,#1,PHYSOCARPUS DIABOLO R P11211,Diabolo®  Ninebark,DCS,02,     ,,,BREAKING DORMANCY,"12""H - 8""S"," 1,033 ",     ,          , 6.50 , 5.20 , 0.46 , 5.66 ,     ,,014949639313,,,
OR,2013,068262,#2,PHYSOCARPUS OPU DART'S GOLD,Dart's Gold Ninebark                                        ,DCS,03,     ,,,BREAKING DORMANCY,12''H - 12''S, 86 ,     ,          , 13.75 , 11.00 , 1.15 , 12.15 ,     ,,014949324424,,,
CA,2014,089981S,SuperOne TM,PHYSOCARPUS TINY WINE TM PPAF,Tiny Wine™  Ninebark,DCS,03,     ,,,,,     , 15 ,05/15/14  , 9.75 , 7.80 , 0.82 , 8.62 ,     ,,014949376195,,,
OR,    ,064545,#5,PICEA ABIES CUPRESSINA,Columnar Norway Spruce                                      ,CON,02, 25 ,,25,-,"40""H - 16""S", 183 ,,, 23.75 , 19.00 , 2.30 , 21.30 ,     ,,014949645451,,,
OR,    ,06455E,"7"" Terra Cotta",PICEA ABIES LITTLE GEM,Little Gem Norway Spruce                                    ,CON,02,     ,,,-,8''H - 10''S, 93 ,     ,          , 15.50 , 12.40 , 0.46 , 12.86 ,     ,,014949263716,,,
OR,    ,064562,#2,PICEA ABIES NIDIFORMIS,Nest Spruce                                                 ,CON,02, 35 ,,35,-,"18""S",     ,     ,          , 13.25 , 10.60 , 1.15 , 11.75 ,     ,,014949645628,,,
OR,    ,064571ST,#1 STAKED,PICEA ABIES PENDULA,Weeping Norway Spruce                                       ,CON,02,     ,,,-,"15""H - 8""S", 807 ,     ,          , 13.00 , 10.40 , 0.46 , 10.86 ,     ,,014949645710,,,
OR,    ,064582,#2,PICEA ABIES PUMILA,Dwarf Norway Spruce                                         ,CON,02,     ,,,-,"16""S", 63 ,     ,          , 15.25 , 12.20 , 1.15 , 13.35 ,     ,,014949645826,,,
