Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1361954,GA 2014                       ,5/15/2014,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                                                             ,2012,9,,7.56,10,10,75.6,5/1/2014,,,1.24,8.8,     ,PROTECT,20,14949355701
OR,1361955,OR 2014                       ,5/15/2014,013821S,SuperOne TM,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,7,,5.88,10,30,176.4,Now         ,-,14''H - 6''S,1.15,7.03,     ,,25,14949047675
OR,1361955,OR 2014                       ,5/15/2014,13822,#2,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,14,,11.76,5,10,117.6,Now         ,-,"14""H - 10""S",1.73,13.49,     ,,35,14949138229
CA,1361910,VI 2014                       ,5/15/2014,13822,#2,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,14,,11.76,5,10,117.6,Now         ,WINTER COLOR,"10""H - 10""S",1.81,13.57,     ,,35,14949138229
CA,1361910,VI 2014                       ,5/15/2014,13825,#5,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,23.75,,19.95,5,10,199.5,4/1/2014,-,,3.62,23.57,     ,,59.99,14949138250
OR,1361955,OR 2014                       ,5/15/2014,013825PY,#5 CONE,BUXUS GREEN MOUNTAIN,Green Mountain Boxwood                                                                              ,    ,38.5,,32.34,2,6,194.04,Now         ,-,"24""H",3.45,35.79,     ,,79.99,14949136959
OR,1361955,OR 2014                       ,5/15/2014,013891S,SuperOne TM,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,    ,7.5,,6.3,10,40,252,Now         ,-,8''H - 8''S,1.15,7.45,     ,,25,14949047712
OR,1361955,OR 2014                       ,5/15/2014,13892,#2,BUXUS GREEN VELVET,Green Velvet Boxwood                                                                                ,    ,14.75,,12.39,5,20,247.8,Now         ,-,"10""H - 12""S",1.73,14.12,     ,,35,14949138922
OR,1361955,OR 2014                       ,5/15/2014,02235UT,LittleOne,CAMPANULA CAR DEEP BLUE CLIPS,Deep Blue Clips Bellflower                                                                          ,    ,2.95,,2.48,16,16,39.68,Now         ,CUT BACK,.,0.52,3,     ,,7.99,14949010495
GA,1361954,GA 2014                       ,5/15/2014,02235UT,LittleOne,CAMPANULA CAR DEEP BLUE CLIPS,Deep Blue Clips Bellflower                                                                          ,    ,2.95,,2.48,16,16,39.68,4/1/2014,,,0.56,3.04,     ,,7.99,14949010495
OR,1361955,OR 2014                       ,5/15/2014,22361,#1,CAMPANULA PORTENSCHLAGIANA,Dalmatian Bellflower                                                                                ,    ,4.75,PRNADV,3.75,10,10,37.5,Now         ,-,CAN FULL,0.69,4.44,     ,,15,14949223611
CA,1361910,VI 2014                       ,5/15/2014,22711,#1 STAKED,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper                                                                     ,    ,7.5,,6.3,10,10,63,Now         ,DORMANT,24''H,0.72,7.02,     ,,20,14949227121
CA,1361910,VI 2014                       ,5/15/2014,22551,#1 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                                                                     ,    ,7.5,,6.3,10,10,63,Now         ,DORMANT,24''H,0.72,7.02,     ,,20,14949225516
OR,1361955,OR 2014                       ,5/15/2014,24032,#2,CHAM PIS FIL GOLDEN CHARM,Golden Charm Thread-Branch Cypress                                                                  ,    ,14,,11.76,5,10,117.6,Now         ,WINTER COLOR,"14""S",1.73,13.49,     ,,35,14949240328
OR,1361955,OR 2014                       ,5/15/2014,24191,#1,CHELONE HOT LIPS,Hot Lips Turtlehead                                                                                 ,    ,4.75,PRNADV,3.75,10,210,787.5,Now         ,CUT BACK,.,0.69,4.44,     ,,15,14949241912
