Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,Retail,Selling Price,Price Code,Extended,
6,6,5/1/2016,017572,WEIGELA MAGICAL R FNTSY P13567,2,,160000,014949214190,,$40.99 ,$14.25 ,,$85.50 ,
10,10,5/1/2016,080942S,WEIGELA SONIC BLOOM TM PNK PAF,2S,,160000,014949360712,,$52.99 ,$18.05 ,,$180.50 ,
10,10,5/5/2016,412541,ASTILBE DELFT LACE,1,,450000,014949423431,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,401061,BAPTISIA SOLAR FLARE PP20408,1,,450000,014949388921,,$17.99 ,$5.94 ,,$59.40 ,
10,10,5/1/2016,401081,BAPTISIA TWILITE PP19011,1,,450000,014949388945,,$17.99 ,$5.94 ,,$59.40 ,
6,6,5/1/2016,401292S,BUD LO&BEHLD R PINK MICRO CHIP,2S,,450000,014949388914,,$48.99 ,$17.10 ,,$102.60 ,
10,10,5/1/2016,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,1,,450000,014949000397,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,018411,CORE CRUZIN' TM MAIN STRT PAF,1,,450000,014949384596,,$16.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,408541,CORE LIL' BANG TM RED ELF,1,,450000,014949413777,,$16.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,004591,DELPHINIUM GRAND BLUE MIRROR,1,,450000,014949014264,,,$4.99 ,,$49.90 ,
10,10,5/1/2016,004801,DICENTRA BURNINGHEARTS PP20797,1,,450000,014949346822,,$19.99 ,$6.41 ,,$64.10 ,
10,10,5/1/2016,004901,DICENTRA SP VALENTINE R P22739,1,,450000,014949369500,,,$6.41 ,,$64.10 ,
5,5,5/1/2016,033603,EUO ALATUS COMPACTUS,3,,450000,014949336038,,$47.99 ,$15.91 ,,$79.55 ,
5,5,5/1/2016,074822S,FORSYTHIA X SHOW OFF TM P19321,2S,,450000,014949354216,,$37.99 ,$12.60 ,SALE,$63.00 ,
10,10,5/1/2016,035711,GAILLARDIA ARIZONA SUN,1,,450000,014949208212,,$15.99 ,$4.99 ,,$49.90 ,
10,10,5/1/2016,065801,GR-CHASMANTHIUM LAT RIVER MIST,1,,450000,014949428603,,$19.99 ,$6.41 ,,$64.10 ,
