Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CA,066432,#2,CITRUS SEEDLESS KISHU MANDARIN,Citrus kinokuni mukakukishu                                 ,Seedless Kishu Mandarin                                     ,Edible berries/fruit,CIT,09,, 17.75 ,-,"12""H-12""S",     , 5 , 17 ,     ,          ,     ,          ,     ,          
CA,066435,#5,CITRUS SEEDLESS KISHU MANDARIN,Citrus kinokuni mukakukishu                                 ,Seedless Kishu Mandarin                                     ,Edible berries/fruit,CIT,09,, 26.00 ,-,"18""H-15""S",     , 5 , 3 ,     ,          ,     ,          ,     ,          
OR,046252,#2 STAKED,CLEM LOUISE ROWE,Clematis x Louise Rowe                                      ,Louise Rowe Clematis                                        ,Clematis,VIN,04,, 18.00 ,-,FULL STK, 30 , 5 , 38 , 38 ,05/01/15  ,     ,          ,     ,          
OR,046255,#5,CLEM LOUISE ROWE,Clematis x Louise Rowe                                      ,Louise Rowe Clematis                                        ,Clematis,VIN,04,, 30.00 ,-,3/4 STK,     , 5 , 19 ,     ,          ,     ,          ,     ,          
OR,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,Clematis 'Sweet Summer Love' P.P.A.F.                       ,Sweet Summer Love Clematis                                  ,Clematis,VIN,04,PW, 10.00 ,-,FULL STK, 15 , 10 ,     , 15 ,05/01/15  ,     ,          ,     ,          
CA,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,Clematis 'Sweet Summer Love' P.P.A.F.                       ,Sweet Summer Love Clematis                                  ,Clematis,VIN,04,PW, 10.00 ,-,1/2  STAKE, 19 , 10 ,     , 19 ,04/01/15  ,     ,          ,     ,          
CA,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,PRN,05,SBN, 5.50 ,,, 17 , 10 ,     , 17 ,04/01/15  ,     ,          ,     ,          
OR,030405,#5,CORNUS FL CHEROKEE CHIEF,Cornus florida 'Cherokee Chief'                             ,Cherokee Chief Flowering Dogwood                            ,Hardy flowering tree,TRE,05,, 40.50 ,,"36""H", 5 , 5 ,     , 5 ,05/01/15  ,     ,          ,     ,          
OR,080841S,SuperOne TM,CORNUS STO PUCKERED UP TM PPAF,Cornus stolonifera 'Neil Z' P.P.A.F.                        ,Pucker Up!™  Red Twig Dogwood,Deciduous shrub/hedge,DCS,03,PW, 9.50 ,-,"10""H - 10""S", 255 , 10 , 457 ,     ,          ,     ,          ,     ,          
OR,080842S,SuperTwo,CORNUS STO PUCKERED UP TM PPAF,Cornus stolonifera 'Neil Z' P.P.A.F.                        ,Pucker Up!™  Red Twig Dogwood,Deciduous shrub/hedge,DCS,03,PW, 17.00 ,-,"12""H - 10""S", 550 , 5 , 550 ,     ,          ,     ,          ,     ,          
CA,079261,#1,CRASSULA PEL CALICO KITTEN,Crassula pellucida 'Variegata'                              ,Calico Kitten Crassula                                      ,Succulent/cactus/yucca,CAC,09,, 7.25 ,,,     , 10 ,     , 157 ,12/31/14  ,     ,          ,     ,          
CA,084121,#1,CUPHEA MICROPETALA,                                                            ,                                                            ,Evergreen sumr flower'g shrub,PRN,08,, 4.90 ,,,     , 10 ,     , 1 ,03/01/15  ,     ,          ,     ,          
CA,088912,#2,CYNARA SCO GREEN GLOBE,Cynara scolymus 'Improved Green Globe'                      ,Improved Green Globe Artichoke                              ,Edible berries/fruit,PRN,06,, 14.75 ,-,"9""H - 10""S",     , 5 , 122 , 122 ,10/01/14  , 165 ,02/15/15  , 165 ,03/01/15  
CA,097981,#1,DELOS JWL OF DSRT MNSTN P23491,"Delosperma cooperi 'Jewel of the Desert Moonstone' P.P. #23,",Jewel of the Desert Moonstone Iceplant                      ,Ground cover,PRN,05,CPB, 5.25 ,BUDS & BLOOMS,CAN FULL,     , 10 , 1 ,     ,          ,     ,          ,     ,          
CA,084671,#1,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,Ground cover,PRN,05,CPB, 5.25 ,BUDS & BLOOMS,CAN FULL,     , 10 , 1 ,     ,          ,     ,          ,     ,          
OR,08467UT,LittleOne,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,Ground cover,PRN,05,CPB, 3.10 ,BUDS & BLOOMS,, 24 , 16 , 24 , 24 ,03/01/15  ,     ,          ,     ,          
OR,097231,#1,DELOSPERMA FIRE WONDER PPAF,Delosperma 'Fire Wonder' P.P.A.F.                           ,Wheels of Wonder®  Fire Wonder Ice Plant,Ground cover,PRN,04,, 5.25 ,,CAN FULL, 36 , 10 , 3 , 36 ,03/01/15  ,     ,          ,     ,          
OR,09723UT,LittleOne,DELOSPERMA FIRE WONDER PPAF,Delosperma 'Fire Wonder' P.P.A.F.                           ,Wheels of Wonder®  Fire Wonder Ice Plant,Ground cover,PRN,04,, 3.10 ,,, 80 , 16 ,     , 422 ,03/01/15  ,     ,          ,     ,          
OR,086222S,SuperTwo,DEUTZIA CREME FRAICHE TM,                                                            ,                                                            ,Deciduous mid flowering shrub,DCS,05,PW, 17.00 ,,, 85 , 5 ,     , 85 ,04/01/15  ,     ,          ,     ,          
OR,091882,#2,DEUTZIA X NIKKO BLUSH NA74356,Deutzia x rosea 'Nikko Blush' (NA74356)                     ,Nikko Blush Deutzia                                         ,Deciduous mid flowering shrub,DCS,05,, 14.50 ,-,"12""H - 12""S", 15 , 5 , 15 ,     ,          ,     ,          ,     ,          
CA,090221,#1,DIANTHUS COSMIC TM PK SWRL PAF,Dianthus x 'Pink Swirl'                                     ,Cosmic™  Pink Swirl Dianthus,Mid spring border flowering,PRN,06,, 5.75 ,-,CAN FULL, 15 , 10 , 83 , 83 ,03/01/15  , 83 ,04/01/15  ,     ,          
CA,090211,#1,DIANTHUS COSMIC TM RD SWRL PAF,Dianthus x 'Red Swirl' P.P.A.F.                             ,Cosmic™  Red Swirl Dianthus,Mid spring border flowering,PRN,06,, 5.75 ,-,CAN FULL, 17 , 10 , 1 , 17 ,04/01/15  ,     ,          ,     ,          
OR,004901,#1,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,Mid spring border flowering,PRN,03,PPP, 6.35 ,-,CAN FULL, 11 , 10 ,     , 11 ,04/01/15  ,     ,          ,     ,          
