Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,YOUR 2014 ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND
 QTY 
READY DATE","3RD 
QTY 
AVAIL","3RD 
QTY 
READY DATE",2014 List Price,Condition,Current Specs
CA,    ,013781,#1,BUDDLEJA DAV BLACK KNIGHT,Black Knight Butterfly Bush                                 ,DCS,05,,, 153 ,,,,          , 5.75 ,-,"8""H - 8""S"
CA,    ,013782,#2,BUDDLEJA DAV BLACK KNIGHT,Black Knight Butterfly Bush                                 ,DCS,05,,, 206 ,     ,          ,     ,          , 13.75 ,-,"10""H - 10""S"
CA,    ,013785,#5,BUDDLEJA DAV BLACK KNIGHT,Black Knight Butterfly Bush                                 ,DCS,05,,," 1,313 ",     ,          ,     ,          , 19.25 ,-,"15""H - 15""S"
CA,    ,034671S,SuperOne TM,BUDDLEJA DAV PEACOCK TM,English Butterfly™  Peacock™  Butterfly Bush,DCS,05,PW,, 20 ,     ,          ,     ,          , 9.00 ,-,"8""H - 8""S"
CA,    ,034675,#5,BUDDLEJA DAV PEACOCK TM,English Butterfly™  Peacock™  Butterfly Bush,DCS,05,PW,, 39 ,     ,          ,     ,          , 19.75 ,-,"15""H - 15""S"
CA,    ,013771,#1,BUDDLEJA DAV PETITE INDIGO R,Petite Indigo®  Dwarf Butterfly Bush,DCS,05,,, 909 ,     ,          ,     ,          , 5.75 ,-,"8""H - 8""S"
CA,    ,013772,#2,BUDDLEJA DAV PETITE INDIGO R,Petite Indigo®  Dwarf Butterfly Bush,DCS,05,,, 111 ,     ,          ,     ,          , 13.75 ,-,"8""H - 10""S"
CA,    ,013775,#5,BUDDLEJA DAV PETITE INDIGO R,Petite Indigo®  Dwarf Butterfly Bush,DCS,05,,, 516 ,     ,          ,     ,          , 19.25 ,-,"15""H - 15""S"
CA,    ,013761,#1,BUDDLEJA DAV PETITE PLUM R,Petite Plum®  Dwarf Butterfly Bush,DCS,05,,, 457 ,     ,          ,     ,          , 5.75 ,-,"8""H - 8""S"
CA,    ,013762,#2,BUDDLEJA DAV PETITE PLUM R,Petite Plum®  Dwarf Butterfly Bush,DCS,05,,, 367 ,     ,          ,     ,          , 13.75 ,-,"10""H - 10""S"
CA,    ,013765,#5,BUDDLEJA DAV PETITE PLUM R,Petite Plum®  Dwarf Butterfly Bush,DCS,05,,, 142 ,     ,          ,     ,          , 19.25 ,-,"15""H - 15""S"
CA,    ,013571,#1,BUDDLEJA DAV PETITE SNOW TM,Petite Snow™  Butterfly Bush,DCS,05,,, 812 ,     ,          ,     ,          , 5.75 ,-,"8""H - 8""S"
CA,    ,013572,#2,BUDDLEJA DAV PETITE SNOW TM,Petite Snow™  Butterfly Bush,DCS,05,,, 391 ,,,,          , 13.75 ,-,"10""H - 10""S"
CA,    ,013575,#5,BUDDLEJA DAV PETITE SNOW TM,Petite Snow™  Butterfly Bush,DCS,05,,, 97 ,     ,          ,     ,          , 19.25 ,-,"15""H - 15""S"
CA,    ,013791,#1,BUDDLEJA DAV PINK DELIGHT,Pink Delight Butterfly Bush                                 ,DCS,05,,," 1,352 ",     ,          ,     ,          , 5.75 ,-,"8""H - 8""S"
CA,    ,013792,#2,BUDDLEJA DAV PINK DELIGHT,Pink Delight Butterfly Bush                                 ,DCS,05,,, 785 ,     ,          ,     ,          , 13.75 ,-,"8""H - 10""S"
CA,    ,013795,#5,BUDDLEJA DAV PINK DELIGHT,Pink Delight Butterfly Bush                                 ,DCS,05,,, 621 ,     ,          ,     ,          , 19.25 ,-,"12""H - 13""S"
CA,    ,013795PT,#5 PATIO TREE,BUDDLEJA DAV PINK DELIGHT,Pink Delight Butterfly Bush                                 ,DCS,05,,, 61 ,,,,          , 38.50 ,-,"10""S"
CA,    ,034681S,SuperOne TM,BUDDLEJA DAV PURPLE EMPEROR TM,English Butterfly™  Purple Emperor™  Butterfly B,DCS,05,PW,, 71 ,     ,          ,     ,          , 9.00 ,-,"10""H - 10""S"
CA,    ,034685,#5,BUDDLEJA DAV PURPLE EMPEROR TM,English Butterfly™  Purple Emperor™  Butterfly B,DCS,05,PW,, 159 ,     ,          ,     ,          , 19.75 ,-,"15""H - 15""S"
CA,    ,013561,#1,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                    ,DCS,05,,, 697 ,     ,          ,     ,          , 5.75 ,-,"8""H - 8""S"
CA,    ,013562,#2,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                    ,DCS,05,,, 459 ,     ,          ,     ,          , 13.75 ,-,"10""H - 10""S"
CA,    ,013565PT,#5 PATIO TREE,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                    ,DCS,05,,, 82 ,,,,          , 38.50 ,-,"15""S"
CA,2012,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                     ,DCS,05,PW,, 115 ,,,,          , 15.50 ,-,"8""H - 10""S"
CA,2011,074401S,SuperOne TM,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                      ,DCS,05,PW,, 53 ,,,,          , 9.00 ,-,"6""H - 6""S *"
CA,2011,074402S,SuperTwo,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                      ,DCS,05,PW,, 15 ,,,,          , 15.50 ,-,"8""H - 10""S *"
CA,2011,074405,#5,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                      ,DCS,05,PW,, 25 ,     ,          ,     ,          , 20.50 ,-,"15""H - 15""S"
CA,    ,013835GL,#5 GLOBE,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                          ,EVS,05,,,     , 10 ,05/15/14  ,     ,          , 35.00 ,-,"12""H - 12""S"
CA,    ,013837CU,#7 CUBE,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                          ,EVS,05,,,     , 6 ,05/01/14  ,     ,          , 75.00 ,-,"20""H - 16""S"
CA,    ,022711,#1 STAKED,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper,VIN,04,OLD,," 13,865 ",     ,          ,     ,          , 7.50 ,DORMANT,24''H
