Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,,Qty Allocated,Min Order Qty,Available Later,On,Available Later,On,,,,,,,,,,
160000,045285,CORNUS ALBA PRAIRIE FIRE AUREA,Cornus alba 'Prairie Fire'                                  ,Prairie Fire Dogwood                                        ,Deciduous shrub/hedge,DCS, 1.00 , 3 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,044702,CORNUS SERICEA KELSEYI,Cornus sericea 'Kelseyi'                                    ,Kelsey's Dwarf Red-Osier Dogwood                            ,Deciduous shrub/hedge,DCS, 1.00 , 106 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,098591,DELOS JWL OF DSRT TOPAZ P23492,"Delosperma cooperi 'Jewel of the Desert Topaz' P.P. #23,492 ",Jewel of the Desert Topaz Ice Plant                         ,Ground cover,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,03420UT,DELOSPERMA COOPERI,Delosperma cooperi                                          ,Hardy Ice Plant                                             ,Ground cover,PRN, 1.00 ,     , 16 ,     ,          ,     ,          ,,,,,,,,,,
160000,059461,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN, 1.00 , 47 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,412591,DIAN WHETMAN STARS STARGAZER,Dianthus x 'Wp13 Gil05' P.P.A.F.                            ,Whetman Stars™  Stargazer Pink,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,412601,DIAN WHETMAN STARS SUPERNOVA,"Dianthus 'WP11 TYR04' P.P.# 25,077                          ",Whetman Stars™  Superstar Dianthus,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,004902,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,Mid spring border flowering,PRN, 1.00 , 48 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,031611,DICENTRA X LUXURIANT,Dicentra x 'Luxuriant'                                      ,Luxuriant Fringed Bleeding Heart                            ,Early spring border flowering,PRN, 1.00 , 269 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,402361,ECHIN DBL SCP TM BBLGM PP23103,"Echinacea x 'Balscblum' P.P. #23, 103                       ",Double Scoop™  Bubble Gum Echinacea,Mid/late interm. flowering,PRN, 1.00 , 82 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,412611,ECHIN DBL SCP TM CRANBRY PPAF,"Echinacea x purpurea 'Balscanery' P.P.# 24,769              ",Double Scoop™  Cranberry Echinacea,Mid/late interm. flowering,PRN, 1.00 , 181 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,402351,ECHIN DBL SCP TM RSPBRY P23117,"Echinacea x 'Balsceras' P.P.# 23, 117                       ",Double Scoop™  Raspberry Coneflower,Mid/late interm. flowering,PRN, 1.00 , 30 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,086821,ECHIN SMBRO TM HOT CORL P23097,"Echinacea x 'Balsomcor' P.P.#23,097                         ",Sombrero™  Hot Coral Coneflower,Mid/late interm. flowering,PRN, 1.00 , 80 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,087021,ECHINACEA CHEYENNE SPIRIT,Echinacea hybrida 'Cheyenne Spirit'                         ,Cheyenne Spirit Echinacea                                   ,Mid/late interm. flowering,PRN, 1.00 , 118 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,032121,ERIGERON GLA SEA BREEZE P12076,Erigeron glaucus 'Sea Breeze' P.P. #12076                   ,Sea Breeze Fleabane                                         ,Mid/late interm. flowering,PRN, 1.00 , 200 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,035785,FAGUS SYL TRICOLOR,Fagus sylvatica 'Tricolor'                                  ,Tricolor European Beech                                     ,Ornamental tree,TRE, 1.00 , 13 , 5 ,     ,          ,     ,          ,,,,,,,,,,
160000,021221,FERN-DRYOPTERIS ERY BRILLIANCE,Dryopteris erythrosora 'Brilliance'                         ,Brilliance Autumn Fern                                      ,Fern,FRN, 1.00 , 104 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,084911,FERN-POLYSTICHUM MUNITUM,Polystichum munitum                                         ,Western Sword Fern                                          ,Fern,FRN, 1.00 , 33 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,412631,GAILLARDIA FANFARE CITRNLA PAF,Gaillardia 'Fanfare Citronella'                             ,Fanfare Citronella Blanket Flower                           ,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,412651,GAILLARDIA SUNSET CANDY PPAF,Gaillardia x grandiflora 'Sunset Candy'                     ,Sunset Candy Blanket Flower                                 ,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,408811,GAILLARDIA SUNSET CELEBRATION,Gaillardia x grandiflora 'Celebration' P.P.A.F.             ,Celebration Blanket Flower                                  ,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,408761,GAILLARDIA SUNSET CUTIE PPAF,"Gaillardia x grandiflora 'Sunset Cutie' P.P.A,F.            ",Sunset Cutie Blanket Flower                                 ,Mid spring border flowering,PRN, 1.00 , 20 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,408751,GAILLARDIA SUNSET FLASH PPAF,Gaillardia x grandiflora 'Sunset Flash' P.P.A.F.            ,Sunset Flash Blanket Flower                                 ,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,408801,GAILLARDIA SUNSET SNAPPY PPAF,Gaillardia x grandiflora 'Sunset Snappy'                    ,Sunset Snappy Blanket Flower                                ,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,048591,GAZANIA LIN COLORADO GOLD R,Gazania linearis 'Colorado Gold'                            ,Colorado Gold®  Treasure Flower,Ground cover,PRN, 1.00 , 181 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,408831,GERANIUM MISS HEIDI PPAF,Geranium x oxonianum 'Miss Heidi' P.P.A.F.                  ,Miss Heidi Geranium                                         ,Mid spring border flowering,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,038331,GERANIUM X CAN BIOKOVO,Geranium x cantabrigiense 'Biokovo'                         ,Biokovo Cranesbill                                          ,Mid spring border flowering,PRN, 1.00 , 71 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,035601,GEUM COCC WERNER ARENDS,Geum coccineum 'Werner Arends'                              ,Werner Arends Avens                                         ,Mid/late border flowering,PRN, 1.00 , 100 , 10 , 327 ,06/01/16  ,     ,          ,,,,,,,,,,
170000,044551,GR-CAL ACUT AVALANCHE,Calamagrostis x acutiflora 'Avalanche'                      ,Avalanche Feather Reed Grass                                ,Large grass,GRS, 1.00 , 234 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,014081,GR-CALAMAGROSTIS  BRACHYTRICA,Calamagrostis brachytricha                                  ,Korean Feather Reed Grass                                   ,Large grass,GRS, 1.00 , 200 , 10 , 466 ,04/01/16  ,     ,          ,,,,,,,,,,
160000,005391,GR-DESCHAMPSIA NORTHERN LIGHTS,Deschampsia caespitosa 'Northern Lights'                    ,Northern Lights Tufted Hair Grass                           ,Small grasses,GRS, 1.00 , 68 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,089291,GR-HAKONECHLOA FUBUKI PP21757,"Hakonechloa macra 'Fubuki' PP# 21,757                       ",Fubuki Japanese Forest Grass                                ,Small grasses,GRS, 1.00 , 106 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,089301,GR-JUNCUS EF BIG TWISTER,Juncus effusus 'Big Twister'                                ,Big Twister Rush                                            ,Sedge,GRS, 1.00 , 32 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,044581,GR-MIS SIN GOLD BAR PP15193,"Miscanthus sinensis 'Gold Bar' P.P.# 15,193                 ",Gold Bar Maiden Grass                                       ,Small grasses,GRS, 1.00 ,     , 10 , 541 ,04/01/16  ,     ,          ,,,,,,,,,,
170000,022961,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,Large grass,GRS, 1.00 , 113 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,044801,GR-PENN OR KARLEY ROSE PP12909,"Pennisetum orientale 'Karley Rose' PP#12,909                ",Karley Rose Oriental Fountain Grass                         ,Small grasses,GRS, 1.00 , 100 , 10 , 476 ,04/01/16  ,     ,          ,,,,,,,,,,
160000,086111,GR-SCHIZACH BL HEAVN TM P17310,"Schizachyrium scoparium 'MinnblueA' P.P.# 17,310            ",Blue Heaven Little Bluestem                                 ,Large grass,GRS, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,040631,HEM PRAIRIE BLUE EYES,Hemerocallis x 'Prairie Blue Eyes'                          ,Prairie Blue Eyes Daylily                                   ,Hemerocallis,PRN, 1.00 , 51 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,083941,HEM SILOAM GUMDROP,Hemerocallis x 'Siloam Gumdrop'                             ,Siloam Gumdrop Daylily                                      ,Hemerocallis,PRN, 1.00 , 63 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,006631,HEM STRAWBERRY CANDY,Hemerocallis x 'Strawberry Candy'                           ,Strawberry Candy Daylily                                    ,Hemerocallis,PRN, 1.00 , 118 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,040291,HEM SUMMER WINE,Hemerocallis x 'Summer Wine'                                ,Summer Wine Daylily                                         ,Hemerocallis,PRN, 1.00 , 79 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,064181,HESPERALOE BRK LIGHTS R P21729,"Hesperaloe parviflora 'Perpa' P.P. # 21,729                 ",Brakelights®  Red Yucca,Grass-like plant,EVS, 1.00 , 157 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,049711,HEUCHERA SOUTHERN COMFORT PPAF,"Heuchera x 'Southern Comfort' P.P.#20,364                   ",Southern Comfort Coral Bells                                ,Shade foliage/flower,PRN, 1.00 , 117 , 10 ,     ,          ,     ,          ,,,,,,,,,,
