Loc,Item,Description,,,,,,,,,,,,,,,
170000,050202,JUN H YOUNGSTOWN,,,,,,,,,,,,,,,
170000,050901,JUN PRO NANA,,,,,,,,,,,,,,,
170000,052705,JUN SC MEDORA,,,,,,,,,,,,,,,
170000,054001,JUN SC SKYROCKET,,,,,,,,,,,,,,,
170000,054005,JUN SC SKYROCKET,,,,,,,,,,,,,,,
170000,053305,JUN SC WICHITA BLUE,,,,,,,,,,,,,,,
160000,053392,JUN SQUA BLUE STAR,,,,,,,,,,,,,,,
550000,054192,KERRIA J PLENIFLORA,,,,,,,,,,,,,,,
550000,056611,LANTANA CAM AMERICAN RED,,,,,,,,,,,,,,,
550000,056631,LANTANA CHAPEL HILL YLW P19548,,,,,,,,,,,,,,,
550000,056631SPT,LANTANA CHAPEL HILL YLW P19548,,,,,,,,,,,,,,,
550000,056953PT,LANTANA CONFETTI TM,,,,,,,,,,,,,,,
550000,05695UT,LANTANA CONFETTI TM,,,,,,,,,,,,,,,
550000,057231SPT,LANTANA S LAVENDER SWIRL R,,,,,,,,,,,,,,,
550000,057201SPT,LANTANA TANGERINE TM,,,,,,,,,,,,,,,
550000,057203PT,LANTANA TANGERINE TM,,,,,,,,,,,,,,,
550000,024461,LANTANA TEENIE GENIE R PP17612,,,,,,,,,,,,,,,
170000,05729EPT,LAURUS NOBILIS,,,,,,,,,,,,,,,
160000,009161,LAVANDULA ANG HIDCOTE,,,,,,,,,,,,,,,
170000,057311,LAVANDULA ANG MUNSTEAD,,,,,,,,,,,,,,,
170000,028481,LAVANDULA THUMBELINA LE P15231,,,,,,,,,,,,,,,
160000,02848UT,LAVANDULA THUMBELINA LE P15231,,,,,,,,,,,,,,,
550000,06224UT,LEPTINELLA X PLATT'S BLACK,,,,,,,,,,,,,,,
550000,009671,LIRIOPE MUSCARI BIG BLUE,,,,,,,,,,,,,,,
550000,009791,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,,,,,,,
550000,00979UT,LIRIOPE MUSCARI VARIEGATA,,,,,,,,,,,,,,,
550000,05892UT,LIRIOPE SPICATA SILVER DRAGON,,,,,,,,,,,,,,,
550000,05894UT,LITHODORA GRACE WARD,,,,,,,,,,,,,,,
170000,059051ST,LONICERA JAP HALLIANA,,,,,,,,,,,,,,,
170000,059055ST,LONICERA JAP HALLIANA,,,,,,,,,,,,,,,
170000,067831,LONICERA SEMP MAJOR WHEELER,,,,,,,,,,,,,,,
170000,059272ST,LONICERA X BRO DROPMORE SCARLT,,,,,,,,,,,,,,,
170000,058991,LONICERA X GOLDFLAME,,,,,,,,,,,,,,,
170000,058992ST,LONICERA X GOLDFLAME,,,,,,,,,,,,,,,
550000,06231UT,LYSIMACHIA NUMMULARIA AUREA,,,,,,,,,,,,,,,
170000,060125TR,MAG X GALAXY,,,,,,,,,,,,,,,
170000,060185TR,MAG X VULCAN,,,,,,,,,,,,,,,
160000,060752,MAHONIA AQUIFOLIUM COMPACTA,,,,,,,,,,,,,,,
160000,060805,MAHONIA ORANGEE FLAME,,,,,,,,,,,,,,,
550000,061191,MAN PNK PRFT R P11787-P6300547,,,,,,,,,,,,,,,
550000,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,,,,,,,
170000,016601,MAN X CRIMSON JEWEL R,,,,,,,,,,,,,,,
550000,06243UT,MAZUS REPTAN ALBUS,,,,,,,,,,,,,,,
550000,06244UT,MAZUS REPTANS,,,,,,,,,,,,,,,
550000,02586UT,MONARDA RASPBERRY WINE,,,,,,,,,,,,,,,
170000,061941,MUSA ACUM ZEBRINA,,,,,,,,,,,,,,,
550000,061945,MUSA ACUM ZEBRINA,,,,,,,,,,,,,,,
550000,072522,MUSA SIAM RUBY,,,,,,,,,,,,,,,
160000,082581,NEPETA LITTLE TRUDY R PP18904,,,,,,,,,,,,,,,
160000,081741,NEPETA NERVOSA PINK CAT,,,,,,,,,,,,,,,
550000,063111,OPHIOPOGON EBONY KNIGHT TM,,,,,,,,,,,,,,,
550000,06311UT,OPHIOPOGON EBONY KNIGHT TM,,,,,,,,,,,,,,,
160000,063351,PACHYSANDRA TERM GREEN SHEEN,,,,,,,,,,,,,,,
160000,047085,PAEONIA ITOH KEIKO TM (PK D D),,,,,,,,,,,,,,,
160000,052605,PAEONIA ITOH MISAKA TM PP22192,,,,,,,,,,,,,,,
160000,052595,PAEONIA ITOH TAKARA TM PP22374,,,,,,,,,,,,,,,
160000,047075,PAEONIA ITOH YUMI TM PAF (YLW),,,,,,,,,,,,,,,
160000,024242,PAEONIA X BLAZE (RED),,,,,,,,,,,,,,,
160000,050282,PAEONIA X BUCKEYE BELLE (RED),,,,,,,,,,,,,,,
160000,051532,PAEONIA X DO TELL (PINK),,,,,,,,,,,,,,,
160000,046072,PAEONIA X RASPBERRY SUNDAE(PK),,,,,,,,,,,,,,,
160000,063762,PAEONIA X SHIRLEY TEMPLE (WT),,,,,,,,,,,,,,,
550000,063751,PALM-CYCAS REVOLUTA,,,,,,,,,,,,,,,
550000,06251UT,PAPAVER NUD CHAMPAGNE BUBBLES,,,,,,,,,,,,,,,
160000,063975TR,PARROTIA PERSICA,,,,,,,,,,,,,,,
170000,002581,PARTH TRI GREEN SHOWERS,,,,,,,,,,,,,,,
550000,06395UT,PENSTEMON DIGITALIS HUSKER RED,,,,,,,,,,,,,,,
550000,06436UT,PHLOX STOL SHERWOOD PURPLE,,,,,,,,,,,,,,,
550000,06434UT,PHLOX SUB CANDY STRIPE,,,,,,,,,,,,,,,
160000,06445UT,PHLOX SUB EMERALD BLUE,,,,,,,,,,,,,,,
160000,06460UT,PHLOX SUB RED WINGS,,,,,,,,,,,,,,,
160000,034652,PHYSOCARPUS CENTER GLOW P16894,,,,,,,,,,,,,,,
160000,074672S,PHYSOCARPUS COPPRTNA TM P16371,,,,,,,,,,,,,,,
160000,063932,PHYSOCARPUS DIABOLO R P11211,,,,,,,,,,,,,,,
160000,068262,PHYSOCARPUS OPU DART'S GOLD,,,,,,,,,,,,,,,
550000,01073UT,PHYSOSTEGIA MISS MANNRS P12637,,,,,,,,,,,,,,,
160000,064525,PICEA ABIES,,,,,,,,,,,,,,,
160000,064552,PICEA ABIES LITTLE GEM,,,,,,,,,,,,,,,
160000,064562,PICEA ABIES NIDIFORMIS,,,,,,,,,,,,,,,
160000,064642,PICEA GL ALBERTA BLUE P11473,,,,,,,,,,,,,,,
160000,064621,PICEA GL CONICA,,,,,,,,,,,,,,,
160000,064622P3,PICEA GL CONICA,,,,,,,,,,,,,,,
160000,064622SP,PICEA GL CONICA,,,,,,,,,,,,,,,
160000,06462MSP,PICEA GL CONICA,,,,,,,,,,,,,,,
160000,019372,PICEA GL CONICA TINY TOWER R,,,,,,,,,,,,,,,
160000,064472,PICEA MARIANA NANA,,,,,,,,,,,,,,,
160000,064665,PICEA PUN GLAUCA,,,,,,,,,,,,,,,
160000,064785,PICEA PUN GLAUCA FAT ALBERT,,,,,,,,,,,,,,,
160000,044635,PICEA PUN ISELI FASTIGATE,,,,,,,,,,,,,,,
160000,064765,PICEA PUN MOERHEIM,,,,,,,,,,,,,,,
160000,019395,PICEA PUN THE BLUES,,,,,,,,,,,,,,,
160000,065222,PIERIS TAIWAN PRELUDE,,,,,,,,,,,,,,,
160000,065082,PIERIS X FOREST FLAME,,,,,,,,,,,,,,,
160000,025685,PINUS PARV BLUE ANGEL PP14169,,,,,,,,,,,,,,,
160000,065485,PINUS STROBUS,,,,,,,,,,,,,,,
160000,049115,PINUS STROBUS BLUE SHAG,,,,,,,,,,,,,,,
550000,06263UT,PLATYCODON GR ASTRA WHITE,,,,,,,,,,,,,,,
550000,06540UT,PLATYCODON GR SENTIMENTAL BLUE,,,,,,,,,,,,,,,
550000,065361,POLEMONIUM BRISE D'ANJOU P9781,,,,,,,,,,,,,,,
550000,06536UT,POLEMONIUM BRISE D'ANJOU P9781,,,,,,,,,,,,,,,
160000,066682,POTENTILLA GOLDFINGER,,,,,,,,,,,,,,,
160000,086651,POTENTILLA PINK BEAUTY P9874,,,,,,,,,,,,,,,
160000,086652,POTENTILLA PINK BEAUTY P9874,,,,,,,,,,,,,,,
160000,066771,POTENTILLA RED ACE,,,,,,,,,,,,,,,
160000,066772,POTENTILLA RED ACE,,,,,,,,,,,,,,,
160000,066741,POTENTILLA SUNSET,,,,,,,,,,,,,,,
160000,066742,POTENTILLA SUNSET,,,,,,,,,,,,,,,
170000,068012,PUNICA GR SMITH ANGLRD PP16578,,,,,,,,,,,,,,,
170000,067701,PYRACANTHA ANG YUKON BELLE R,,,,,,,,,,,,,,,
170000,067705,PYRACANTHA ANG YUKON BELLE R,,,,,,,,,,,,,,,
170000,067705ST,PYRACANTHA ANG YUKON BELLE R,,,,,,,,,,,,,,,
160000,020792S,RHAMNUS FRA FINELINE R PP14791,,,,,,,,,,,,,,,
160000,020795,RHAMNUS FRA FINELINE R PP14791,,,,,,,,,,,,,,,
160000,010052,RHOD (H-1) RAMAPO,,,,,,,,,,,,,,,
160000,010155,RHOD (H-1) ROSEUM ELEGANS,,,,,,,,,,,,,,,
160000,010192,RHOD (H-2) SNEEZY,,,,,,,,,,,,,,,
160000,075245,RHUS GLABRA LACINIATA,,,,,,,,,,,,,,,
160000,069905,RHUS TYPHINA LACINIATA,,,,,,,,,,,,,,,
170000,068251,RIBES RUBRUM RED LAKE,,,,,,,,,,,,,,,
550000,036292,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,,,,,,,
170000,069292,ROSA FLWR CAR R APLBLSM P10239,,,,,,,,,,,,,,,
170000,079572,ROSA FLWR CAR R PNK SPLSH PPAF,,,,,,,,,,,,,,,
550000,036382,ROSA FLWR CAR R PNK SUP P16276,,,,,,,,,,,,,,,
550000,071602,ROSA FLWR CAR R RED P11308,,,,,,,,,,,,,,,
550000,036312,ROSA FLWR CAR R SCARLET P17373,,,,,,,,,,,,,,,
550000,042822S,ROSA KNCK OUT R DBL PNK P18507,,,,,,,,,,,,,,,
550000,030902S,ROSA KNCK OUT R DBL RD P16202,,,,,,,,,,,,,,,
550000,030905PT,ROSA KNCK OUT R DBL RD P16202,,,,,,,,,,,,,,,
550000,011622S,ROSA KNCK OUT R P11836 (RED),,,,,,,,,,,,,,,
550000,022152S,ROSA KNCK OUT R P15070 (PINK),,,,,,,,,,,,,,,
170000,070321,ROSMARINUS HUNTINGTON CARPET,,,,,,,,,,,,,,,
170000,070281,ROSMARINUS OFF TUSCAN BLUE,,,,,,,,,,,,,,,
170000,070331,RUBUS BLACK SATIN BLACKBERRY,,,,,,,,,,,,,,,
170000,067871,RUBUS PRIME-JIM R BKBRY P16989,,,,,,,,,,,,,,,
160000,079382,RUBUS RSPBRY SHRTCKE TM P22141,,,,,,,,,,,,,,,
550000,07101UT,RUDBECKIA FULGIDA GOLDSTURM,,,,,,,,,,,,,,,
550000,02913UT,SAGINA SUBULATA,,,,,,,,,,,,,,,
550000,06239UT,SAGINA SUBULATA AUREA,,,,,,,,,,,,,,,
160000,070612,SALIX INTEGRA HAKURO NISHIKI,,,,,,,,,,,,,,,
160000,070615PT,SALIX INTEGRA HAKURO NISHIKI,,,,,,,,,,,,,,,
160000,035942S,SAMBUCUS BLACK LACE TM PP15575,,,,,,,,,,,,,,,
160000,019992S,SAMBUCUS BLK BEAUTY TM PP12305,,,,,,,,,,,,,,,
160000,070501,SARCOCOCCA HUMILIS,,,,,,,,,,,,,,,
550000,07097UT,SCABIOSA COL BUTTERFLY BLUE,,,,,,,,,,,,,,,
550000,07166UT,SCABIOSA COL PINK MIST,,,,,,,,,,,,,,,
550000,06501UT,SEDUM ACRE,,,,,,,,,,,,,,,
550000,07094UT,SEDUM BRONZE CARPET,,,,,,,,,,,,,,,
550000,03028UT,SEDUM DRAGON'S BLOOD,,,,,,,,,,,,,,,
550000,06511UT,SEDUM LYDIUM,,,,,,,,,,,,,,,
160000,04826UT,SEDUM OREGANUM,,,,,,,,,,,,,,,
550000,06524UT,SEDUM PACHYCLADOS,,,,,,,,,,,,,,,
550000,06533UT,SEDUM REQUINEI,,,,,,,,,,,,,,,
550000,044871,SEDUM RUP ANGELINA PPAF,,,,,,,,,,,,,,,
550000,04487UT,SEDUM RUP ANGELINA PPAF,,,,,,,,,,,,,,,
160000,034281,SEDUM SPATH CAPE BLANCO,,,,,,,,,,,,,,,
550000,03517UT,SEDUM SPURIUM VOODOO,,,,,,,,,,,,,,,
160000,039011,SEDUM TELEPHIUM RUP HAB GRAY,,,,,,,,,,,,,,,
550000,07091UT,SEDUM VERA JAMESON,,,,,,,,,,,,,,,
550000,02504UT,SEDUM X AUTUMN FIRE,,,,,,,,,,,,,,,
550000,06550UT,SEMPERVIVUM ARACHNOIDEUM,,,,,,,,,,,,,,,
550000,06550UT,SEMPERVIVUM ARACHNOIDEUM,,,,,,,,,,,,,,,
550000,06550UT,SEMPERVIVUM ARACHNOIDEUM,,,,,,,,,,,,,,,
550000,06559UT,SEMPERVIVUM BLACK,,,,,,,,,,,,,,,
170000,065601,SEMPERVIVUM GREEN WHEEL,,,,,,,,,,,,,,,
550000,06560UT,SEMPERVIVUM GREEN WHEEL,,,,,,,,,,,,,,,
550000,06598UT,SEMPERVIVUM HARDY MIX,,,,,,,,,,,,,,,
170000,077901,SEMPERVIVUM HYBRID VORTEX TM,,,,,,,,,,,,,,,
550000,06563UT,SEMPERVIVUM RED RUBIN,,,,,,,,,,,,,,,
160000,04491UT,SEMPERVIVUM RUBIKON,,,,,,,,,,,,,,,
170000,070011,SEMPERVIVUM SILVER KING,,,,,,,,,,,,,,,
550000,011881,SETCREASEA PALLIDA,,,,,,,,,,,,,,,
550000,01189UT,SISYRINCHIUM ANG LUCERNE,,,,,,,,,,,,,,,
160000,075011S,SPIRAEA DBLPLAY R ARTIST PPAF,,,,,,,,,,,,,,,
160000,075012S,SPIRAEA DBLPLAY R ARTIST PPAF,,,,,,,,,,,,,,,
160000,075031S,SPIRAEA DBLPLAY R BIGBANG PPAF,,,,,,,,,,,,,,,
160000,075032S,SPIRAEA DBLPLAY R BIGBANG PPAF,,,,,,,,,,,,,,,
160000,075021S,SPIRAEA DBLPLAY R GOLD PPAF,,,,,,,,,,,,,,,
160000,075022S,SPIRAEA DBLPLAY R GOLD PPAF,,,,,,,,,,,,,,,
160000,071252,SPIRAEA JAP LITTLE PRINCESS,,,,,,,,,,,,,,,
160000,071572,SPIRAEA JAP MAGIC CARPET P9363,,,,,,,,,,,,,,,
160000,071582,SPIRAEA JAP NEON FLASH,,,,,,,,,,,,,,,
160000,071302,SPIRAEA NIPPON SNOWMOUND,,,,,,,,,,,,,,,
160000,071152,SPIRAEA X ANTHONY WATERER,,,,,,,,,,,,,,,
160000,071172,SPIRAEA X GOLDFLAME,,,,,,,,,,,,,,,
160000,071232,SPIRAEA X LIMEMOUND R,,,,,,,,,,,,,,,
550000,01209UT,STACHYS BIG EARS,,,,,,,,,,,,,,,
550000,01211UT,STACHYS SILVER CARPET,,,,,,,,,,,,,,,
550000,047912,STROMANTHE SANG TRIOSTAR,,,,,,,,,,,,,,,
160000,071735,STYRAX JAPONICUS,,,,,,,,,,,,,,,
160000,017695,SYMPH SCARLET PEARL PP13244,,,,,,,,,,,,,,,
160000,074681S,SYRINGA BLOOMERNG R PUR P20575,,,,,,,,,,,,,,,
160000,074682S,SYRINGA BLOOMERNG R PUR P20575,,,,,,,,,,,,,,,
160000,072022,SYRINGA PATULA MISS KIM,,,,,,,,,,,,,,,
160000,012595,THUJA GREEN GIANT,,,,,,,,,,,,,,,
160000,072941,THUJA OC DANICA,,,,,,,,,,,,,,,
160000,072942,THUJA OC DANICA,,,,,,,,,,,,,,,
160000,073015SP,THUJA OC EMERALD,,,,,,,,,,,,,,,
160000,072835PT,THUJA OC FILIFORMIS,,,,,,,,,,,,,,,
160000,047442,THUJA OC FIRE CHIEF TM P19009,,,,,,,,,,,,,,,
160000,072922,THUJA OC HETZ MIDGET,,,,,,,,,,,,,,,
160000,072872,THUJA OC LITTLE GIANT,,,,,,,,,,,,,,,
160000,072875,THUJA OC LITTLE GIANT,,,,,,,,,,,,,,,
160000,022172,THUJA OC MR BOWLING BALL R,,,,,,,,,,,,,,,
550000,06574UT,THYMUS COCCINEUS RED CREEPING,,,,,,,,,,,,,,,
550000,06573UT,THYMUS ELFIN,,,,,,,,,,,,,,,
550000,06576UT,THYMUS P PSUEDOLANUGINOSUS,,,,,,,,,,,,,,,
550000,05124UT,THYMUS PRA PINK CHINTZ,,,,,,,,,,,,,,,
550000,070051ST,TRACH JASMINOIDES,,,,,,,,,,,,,,,
550000,06583UT,TRIFOLIUM REPENS ATROPURPUREUA,,,,,,,,,,,,,,,
160000,073435,TSUGA CAN EMERALD FOUNTAIN R,,,,,,,,,,,,,,,
160000,073265,TSUGA CANADENSIS,,,,,,,,,,,,,,,
550000,056232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,,,,,,,
550000,021742,VACCINIUM CORY SUNSHINE BLUE,,,,,,,,,,,,,,,
160000,081712,VACCINIUM PEACH SORBET TM PPAF,,,,,,,,,,,,,,,
160000,081702,VACCINIUM X JELLY BEAN TM PPAF,,,,,,,,,,,,,,,
550000,01291UT,VERONICA PED GEORGIA BLUE,,,,,,,,,,,,,,,
550000,03693UT,VERONICA WATERPERRY BLUE,,,,,,,,,,,,,,,
160000,073955,VIB CARLESII,,,,,,,,,,,,,,,
160000,075102,VIB OPULUS STERILE,,,,,,,,,,,,,,,
160000,073972,VIB PLI T SUMMER SNOWFLAKE,,,,,,,,,,,,,,,
160000,075305,VIB RHYT ALLEGHENY,,,,,,,,,,,,,,,
160000,073605,VIB X BURKWOODII,,,,,,,,,,,,,,,
160000,07608UT,VINCA MINOR ATROPURPUREA,,,,,,,,,,,,,,,
160000,076131,VINCA MINOR BOWLES',,,,,,,,,,,,,,,
160000,07613UT,VINCA MINOR BOWLES',,,,,,,,,,,,,,,
170000,076311,VITIS LAB CATAWBA,,,,,,,,,,,,,,,
170000,076221,VITIS LAB EASTERN CONCORD,,,,,,,,,,,,,,,
170000,076301,VITIS LAB HIMROD,,,,,,,,,,,,,,,
160000,077502S,WEIGELA F MY MONET R SUNST PAF,,,,,,,,,,,,,,,
160000,076392,WEIGELA FL DARK HORSE PP14381,,,,,,,,,,,,,,,
160000,074691S,WEIGELA FL FINE WINE TM P18513,,,,,,,,,,,,,,,
160000,074711S,WEIGELA FL MY MONET R PP16824,,,,,,,,,,,,,,,
160000,074712S,WEIGELA FL MY MONET R PP16824,,,,,,,,,,,,,,,
160000,076542,WEIGELA FL PINK POPPET,,,,,,,,,,,,,,,
160000,076545,WEIGELA FL PINK POPPET,,,,,,,,,,,,,,,
160000,077512S,WEIGELA FL SPILLED WINE TM PAF,,,,,,,,,,,,,,,
550000,076561S,WEIGELA FL WINE&ROSES R P10772,,,,,,,,,,,,,,,
550000,076562S,WEIGELA FL WINE&ROSES R P10772,,,,,,,,,,,,,,,
160000,017572,WEIGELA MAGICAL R FNTSY P13567,,,,,,,,,,,,,,,
160000,017575,WEIGELA MAGICAL R FNTSY P13567,,,,,,,,,,,,,,,
160000,076811,WISTERIA FRU AMETHYST FALLS,,,,,,,,,,,,,,,
160000,076815,WISTERIA FRU AMETHYST FALLS,,,,,,,,,,,,,,,
160000,017341,WISTERIA MAC BLUE MOON,,,,,,,,,,,,,,,
160000,017345,WISTERIA MAC BLUE MOON,,,,,,,,,,,,,,,
170000,077232,YUCCA FIL GOLDEN SWORD,,,,,,,,,,,,,,,
170000,077221,YUCCA FIL IVORY TOWER,,,,,,,,,,,,,,,
170000,077222,YUCCA FIL IVORY TOWER,,,,,,,,,,,,,,,
