Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,LANDED PRICE,"QTY 
TO ADD TO BOOKING",QTY AVAIL,"2ND 
QTY AVAIL",On,3RD QTY AVAIL,On
OR,2011,052605,#5,PAEONIA ITOH MISAKA TM PP22192,Misaka™  (Beautiful Blossom) Itoh Peony,PRN,04,DRS, 36.13 ,, 36 ,     ,          ,     ,          
OR,    ,019522,#2,PAEONIA X BOWL OF BEAUTY (PK),Bowl Of Beauty Herbaceous Peony                             ,PRN,04,, 16.66 ,, 801 ," 2,079 ",03/01/15  ,     ,          
OR,    ,016252,#2,PAEONIA X BOWL OF CREAM (WT),Bowl Of Cream Double Herbaceous Peony                       ,PRN,04,, 16.66 ,, 91 , 231 ,03/01/15  ,     ,          
OR,    ,050282,#2,PAEONIA X BUCKEYE BELLE (RED),Buckeye Belle Herbaceous Peony                              ,PRN,04,, 16.66 ,, 236 ," 1,213 ",03/01/15  ,     ,          
OR,2015,096432,#2,PAEONIA X GENERAL MACMAHON,General MacMahon Peony                                      ,PRN,03,, 16.45 ,, 43 , 43 ,03/01/15  ,     ,          
OR,    ,036332,#2,PAEONIA X INSPECTEUR LAVERGNE,Inspecteur Lavergne Peony                                   ,PRN,04,, 16.66 ,, 922 ," 1,990 ",03/01/15  ,     ,          
OR,    ,063742,#2,PAEONIA X KANSAS (RED),Kansas Double Peony                                         ,PRN,04,OLD, 16.66 ,," 2,683 "," 7,895 ",03/01/15  ,     ,          
OR,    ,064912,#2,PAEONIA X MME EMILE DEBATENE,Madame Emile Debatene Double Peony                          ,PRN,04,, 16.66 ,,     , 373 ,03/01/15  ,     ,          
OR,    ,051192,#2,PAEONIA X NANCY NORA (PINK),Nancy Nora Peony                                            ,PRN,04,, 16.66 ,," 1,166 "," 2,728 ",03/01/15  ,     ,          
OR,    ,024272,#2,PAEONIA X PAUL M WILD (RED),Paul M. Wild Double Peony                                   ,PRN,04,, 16.66 ,, 129 , 129 ,03/01/15  ,     ,          
OR,    ,063762,#2,PAEONIA X SHIRLEY TEMPLE (WT),Shirley Temple Double Peony                                 ,PRN,04,, 16.66 ,, 483 ," 2,039 ",03/01/15  ,     ,          
OR,    ,030902S,SuperTwo,ROSA KNCK OUT R DBL RD P16202,Double Knock Out®  Rose,ROS,04,CPC, 12.22 ,, 87 ,     ,          ,     ,          
