Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2015 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On
OR,    ,001135,#5,ACER PLAT CRIMSON KING,Acer platanoides 'Crimson King'                             ,Crimson King Norway Maple                                   ,TRE,03,, 29.00 , 24.36 , 4.25 , 28.61 ,,     ,014949011355,     ,     ,FALL COLOR,"62""H", 5 ,     , 9 ,05/15/15  
OR,2014,049585,#5,ACER PSEUDO ESKIMO SUNSET,Acer pseudoplatanus 'Esk Sunset'                            ,Eskimo Sunset Sycamore Maple                                ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949317662,     ,     ,FALL COLOR,"48""H", 5 , 6 ,     ,          
OR,2010,030335,#5,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,, 58.00 , 48.72 , 4.25 , 52.97 ,,     ,014949193495,     ,     ,FALL COLOR,"40""H", 5 ,     , 14 ,05/01/15  
OR,2010,03033M,#10 Squat,ACER SHIR AUTUMN MOON,Acer shirasawanum 'Autumn Moon'                             ,Autumn Moon Fullmoon Maple                                  ,TRE,05,, 118.00 , 99.12 , 15.32 , 114.44 ,,     ,014949193501,     ,     ,FALL COLOR,"58""H", 2 , 119 , 174 ,05/15/15  
OR,    ,001565,#5,AESCULUS PARVIFLORA,Aesculus parviflora                                         ,Bottlebrush Buckeye                                         ,TRE,04,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949015650,     ,     ,FALL COLOR,"50""H", 5 , 53 ,     ,          
OR,    ,028895,#5,AESCULUS X ARN AUTUMN SPLENDOR,Aesculus x arnoldiana 'Autumn Splendor'                     ,Autumn Splendor Horse Chestnut                              ,TRE,04,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949065174,     ,     ,FALL COLOR,"60""H", 5 , 108 ,     ,          
OR,    ,000575,#5,AESCULUS X CARNEA FORT MCNAIR,Aesculus x carnea 'Fort McNair'                             ,Fort McNair Horse Chestnut                                  ,TRE,05,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949052990,     ,     ,FALL COLOR,"48""H-15""S", 5 , 7 ,     ,          
OR,    ,024715,#5,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,TRE,04,NCS, 35.00 , 29.40 , 4.25 , 33.65 ,,     ,014949049464,     ,     ,FALL COLOR,"50""H", 5 , 111 ,     ,          
OR,    ,002345,#5,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,TRE,03,TIN, 30.00 , 25.20 , 4.25 , 29.45 ,,     ,014949011553,     ,     ,FALL COLOR,"60""H", 5 , 15 ,     ,          
OR,    ,012415ST,#5 STAKED,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,TRE,02,, 40.00 , 33.60 , 4.25 , 37.85 ,,     ,014949125052,     ,     ,FALL COLOR,"50""H - 18""S", 5 , 10 ,     ,          
OR,    ,022775,#5,CARPINUS BET FASTIGIATA,Carpinus betulus 'Fastigiata'                               ,Pyramidal European Hornbeam                                 ,TRE,04,, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949227756,     ,     ,FALL COLOR,"84""H", 5 , 16 , 16 ,05/01/15  
OR,    ,023495,#5,CERCIDIPHYLLUM PENDULUM,Cercidiphyllum japonicum 'Pendula'                          ,Weeping Katsura Tree                                        ,TRE,04,, 54.00 , 45.36 , 4.25 , 49.61 ,,     ,014949234952,     ,     ,FALL COLOR,"60""H", 5 , 34 , 34 ,05/01/15  
OR,2010,038425,#5,CERCIS C ACE OF HEARTS PP17161,"Cercis canadensis 'Ace Of Hearts' P.P. #17,161              ",Ace of Hearts Redbud                                        ,TRE,05,PHI, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949219461,     ,     ,FALL COLOR,, 5 ,     , 28 ,05/01/15  
OR,    ,017855,#5,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,TRE,05,BNU, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949052914,     ,     ,FALL COLOR,"50""H", 5 , 91 , 304 ,05/01/15  
OR,    ,017855SE,#5 SERPENTINE,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,TRE,05,BNU, 46.00 , 38.64 , 6.38 , 45.02 ,,     ,014949419403,     ,     ,FALL COLOR,, 2 ,     , 4 ,05/01/15  
OR,    ,017857,#7,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,TRE,05,BNU, 69.00 , 57.96 , 10.64 , 68.60 ,,     ,014949055694,     ,     ,FALL COLOR,"56""H", 2 , 5 ,     ,          
OR,    ,024165,#5,CHIONANTHUS RETUSUS,Chionanthus retusus                                         ,Chinese Fringe Tree                                         ,TRE,05,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949241653,     ,     ,FALL COLOR,"54""H", 5 , 25 ,     ,          
OR,    ,024185,#5,CHIONANTHUS VIRGINICUS,Chionanthus virginicus                                      ,White Fringe Tree                                           ,TRE,04,, 33.00 , 27.72 , 4.25 , 31.97 ,,     ,014949241851,     ,     ,FALL COLOR,"30""H", 5 , 20 , 20 ,03/01/15  
OR,    ,027875,#5,CORNUS ALTERNIFOLIA,Cornus alternifolia                                         ,Pagoda Dogwood                                              ,TRE,04,, 28.50 , 23.94 , 4.25 , 28.19 ,,     ,014949278758,     ,     ,FALL COLOR,"46""H", 5 , 70 , 70 ,03/01/15  
OR,    ,02787M,#10 Squat,CORNUS ALTERNIFOLIA,Cornus alternifolia                                         ,Pagoda Dogwood                                              ,TRE,04,, 73.00 , 61.32 , 15.32 , 76.64 ,,     ,014949278765,     ,     ,FALL COLOR,"48""H", 2 , 14 ,     ,          
OR,2014,030407,#7,CORNUS FL CHEROKEE CHIEF,Cornus florida 'Cherokee Chief'                             ,Cherokee Chief Flowering Dogwood                            ,TRE,05,, 64.00 , 53.76 , 10.64 , 64.40 ,,     ,014949343784,     ,     ,FALL COLOR,"54""H", 2 ,     , 3 ,05/15/15  
OR,2014,03040M,#10 Squat,CORNUS FL CHEROKEE CHIEF,Cornus florida 'Cherokee Chief'                             ,Cherokee Chief Flowering Dogwood                            ,TRE,05,, 73.00 , 61.32 , 15.32 , 76.64 ,,     ,014949305683,     ,     ,FALL COLOR,"40""H", 2 ,     , 13 ,05/01/15  
OR,    ,027795,#5,CORNUS KOUSA SATOMI,Cornus kousa 'Satomi'                                       ,Pink Japanese Dogwood                                       ,TRE,05,, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949277959,     ,     ,FALL COLOR,"33""H", 5 , 103 ,     ,          
OR,    ,019615,#5,CORNUS KOUSA WOLF EYES,Cornus kousa 'Wolf Eyes'                                    ,Wolf Eyes Japanese Dogwood                                  ,TRE,05,, 40.50 , 34.02 , 4.25 , 38.27 ,,     ,014949018903,     ,     ,FALL COLOR,"33""H", 5 ,     , 41 ,05/01/15  
